timestamp,driver_alive,host_mem_available_kib,gpu4_used_mib,gpu4_util_pct,gpu5_used_mib,gpu5_util_pct
2026-08-26T08:01:33+00:00,1,2062023584,1,0,1,0
2026-08-26T08:02:33+00:00,1,1992192156,1187,0,1187,0
2026-08-26T08:03:34+00:00,1,1966583764,1709,0,1709,0
2026-08-26T08:04:34+00:00,1,1975969000,13885,0,14271,0
2026-08-26T08:05:34+00:00,1,1947321060,22461,0,22847,0
2026-08-26T08:06:34+00:00,1,1918546488,32074,6,32506,0
2026-08-26T08:07:34+00:00,1,1888565384,41417,3,42159,82
2026-08-26T08:08:34+00:00,1,1879127492,49233,77,49525,81
2026-08-26T08:09:34+00:00,1,1877995756,35157,0,32929,0
2026-08-26T08:10:35+00:00,1,1848575760,34755,0,35349,0
2026-08-26T08:11:35+00:00,1,1819263728,38671,0,40123,0
2026-08-26T08:12:35+00:00,1,1792959504,45759,0,47417,56
2026-08-26T08:13:35+00:00,1,1780947160,50326,0,50362,82
2026-08-26T08:14:35+00:00,1,1783263112,48248,0,38243,0
2026-08-26T08:15:35+00:00,1,1783896536,31742,11,32173,0
2026-08-26T08:16:35+00:00,1,1783943956,37128,2,37972,0
2026-08-26T08:17:35+00:00,1,1781284696,45482,2,46488,0
2026-08-26T08:18:36+00:00,1,1776561900,50048,95,50340,0
2026-08-26T08:19:36+00:00,1,1776103004,48862,0,49746,0
2026-08-26T08:20:36+00:00,1,1779833144,37390,0,37682,2
2026-08-26T08:21:36+00:00,1,1780165440,40274,0,40364,0
2026-08-26T08:22:36+00:00,1,1778893424,43266,2,43302,0
2026-08-26T08:23:36+00:00,1,1768325484,50816,0,51108,0
2026-08-26T08:24:36+00:00,1,1769447700,50816,99,51108,0
2026-08-26T08:25:36+00:00,1,1761451740,41338,0,42182,0
2026-08-26T08:26:37+00:00,1,1741192972,30072,0,30566,0
2026-08-26T08:27:37+00:00,1,1711012700,33050,0,33342,0
2026-08-26T08:28:37+00:00,1,1681243500,40642,1,41392,1
2026-08-26T08:29:37+00:00,1,1665014528,50738,100,51030,100
2026-08-26T08:30:37+00:00,1,1664357100,50738,0,51030,100
2026-08-26T08:31:37+00:00,1,1662397108,39228,0,39818,0
2026-08-26T08:32:37+00:00,1,1647970324,41902,0,42492,0
2026-08-26T08:33:38+00:00,1,1635080028,44386,4,45178,0
2026-08-26T08:34:38+00:00,1,1620313832,50086,4,50936,0
2026-08-26T08:35:38+00:00,1,1618136096,51762,0,51286,0
2026-08-26T08:36:38+00:00,1,1617529892,46020,0,42404,1
2026-08-26T08:37:38+00:00,1,1614901388,43030,0,43404,0
2026-08-26T08:38:38+00:00,1,1607637264,45910,0,46086,0
2026-08-26T08:39:39+00:00,1,1590483544,48394,0,48772,0
2026-08-26T08:40:39+00:00,1,1578183692,52787,0,52054,1
2026-08-26T08:41:39+00:00,1,1576789932,52787,5,52054,51
2026-08-26T08:42:39+00:00,1,1576037352,42746,0,43364,0
2026-08-26T08:43:39+00:00,1,1573186060,45718,0,46134,2
2026-08-26T08:44:39+00:00,1,1564948416,48692,0,49112,0
2026-08-26T08:45:39+00:00,1,1560168244,51540,0,52782,0
2026-08-26T08:46:40+00:00,1,1557752564,53811,37,53591,0
2026-08-26T08:47:40+00:00,1,1544673176,60425,86,60209,56
2026-08-26T08:48:40+00:00,1,1562078324,30429,0,30657,0
2026-08-26T08:49:40+00:00,1,1561928424,33399,0,33627,0
2026-08-26T08:50:40+00:00,1,1562223388,38641,0,38869,0
2026-08-26T08:51:40+00:00,1,1560796144,46745,0,46973,0
2026-08-26T08:52:40+00:00,1,1560141528,53043,0,53271,0
2026-08-26T08:53:41+00:00,1,1559737676,45228,0,43792,0
2026-08-26T08:54:41+00:00,1,1555854592,42313,0,42791,3
2026-08-26T08:55:41+00:00,1,1540098592,45283,1,45809,50
2026-08-26T08:56:41+00:00,1,1539444704,48992,3,50745,0
2026-08-26T08:57:41+00:00,1,1536207816,53043,0,53271,0
2026-08-26T08:58:41+00:00,1,1532861240,52018,0,35944,0
2026-08-26T08:59:41+00:00,1,1539152564,36341,41,36692,0
2026-08-26T09:00:42+00:00,1,1538951896,39219,2,41201,0
2026-08-26T09:01:42+00:00,1,1531781844,46805,0,49303,0
2026-08-26T09:02:42+00:00,1,1527128032,52019,100,51479,0
2026-08-26T09:03:42+00:00,1,1512458724,52019,55,46430,0
2026-08-26T09:04:42+00:00,1,1527553000,40307,0,40913,2
2026-08-26T09:05:42+00:00,1,1526577108,43373,80,43885,0
2026-08-26T09:06:42+00:00,1,1506932064,46051,0,48423,9
2026-08-26T09:07:42+00:00,1,1513479784,52018,0,51734,0
2026-08-26T09:08:43+00:00,1,1393954248,52018,0,39226,0
2026-08-26T09:09:43+00:00,1,1464285624,36022,0,35738,0
2026-08-26T09:10:43+00:00,1,1487813868,30845,0,30401,0
2026-08-26T09:11:43+00:00,1,1467112652,34935,0,34395,54
2026-08-26T09:12:43+00:00,1,1466282116,43035,0,41685,0
2026-08-26T09:13:43+00:00,1,1498374908,51508,86,50968,86
2026-08-26T09:14:43+00:00,1,1506423548,45352,1,50968,0
2026-08-26T09:15:43+00:00,1,1507257484,40435,0,38505,2
2026-08-26T09:16:44+00:00,1,1497637292,43407,0,41381,0
2026-08-26T09:17:44+00:00,1,1501041420,48525,0,44353,2
2026-08-26T09:18:44+00:00,1,1505633908,51764,0,51993,79
2026-08-26T09:19:44+00:00,1,1503247232,46120,0,51992,29
2026-08-26T09:20:44+00:00,1,1507064892,43037,0,40983,1
2026-08-26T09:21:44+00:00,1,1505880964,46079,0,44157,1
2026-08-26T09:22:44+00:00,1,1495050044,48983,0,47223,76
2026-08-26T09:23:44+00:00,1,1484688012,52533,0,52155,0
2026-08-26T09:24:45+00:00,1,1484079156,50753,0,52761,0
2026-08-26T09:25:45+00:00,1,1484968952,44037,2,43040,0
